participantID,filetype,filename,time
USA_1501572806707,TestRecording_p0.mp3,../../../private/StoryTransmission/recordings/REC_27363600 1501572802_6464.mp3,2017-8-1 8:33:22
USA_1501572806707,USA_1501572806707_distraction_0,../../../private/StoryTransmission/distractionTask/53706300 1501573137_7015.csv,2017-8-1 8:38:57
USA_1501572806707,USA_1501572806707_USA_LowP_Taka_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_23722900 1501573143_9842.mp3,2017-8-1 8:39:3
USA_1501572806707,USA_1501572806707_distraction_0,../../../private/StoryTransmission/distractionTask/28352200 1501573222_5404.csv,2017-8-1 8:40:22
USA_1501572806707,USA_1501572806707_distraction_1,../../../private/StoryTransmission/distractionTask/23642900 1501573233_5925.csv,2017-8-1 8:40:33
USA_1501572806707,USA_1501572806707_USA_HighP_Muki_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_79769100 1501573261_1964.mp3,2017-8-1 8:41:1
USA_1501572806707,USA_1501572806707_SpEval_0,../../../private/StoryTransmission/survey/66251900 1501573312_5368.csv,2017-8-1 8:41:52
USA_1501572806707,USA_1501572806707_distraction_1,../../../private/StoryTransmission/distractionTask/97326600 1501573317_6669.csv,2017-8-1 8:41:57
USA_1501572806707,USA_1501572806707_distraction_1,../../../private/StoryTransmission/distractionTask/68549100 1501573402_8022.csv,2017-8-1 8:43:22
