participantId,Message,Time
UK_1499856736831,Page Load,2017-7-12 11:51:45
UK_1499856736831,Participant focus window undefined,2017-7-12 11:51:45
UK_1499856736831,consent,2017-7-12 11:51:47
UK_1499856736831,Participant blur window consent,2017-7-12 11:51:49
UK_1499856736831,Participant focus window consent,2017-7-12 11:51:52
UK_1499856736831,consent,2017-7-12 11:52:10
UK_1499856736831,localisation,2017-7-12 11:52:11
UK_1499856736831,demographySurvey,2017-7-12 11:52:16
UK_1499856736831,Participant blur window demographySurvey,2017-7-12 11:52:22
UK_1499856736831,Participant focus window demographySurvey,2017-7-12 11:52:24
UK_1499856736831,checkUploaded,2017-7-12 11:53:29
UK_1499856736831,workerCode,2017-7-12 11:53:30
