participantID,filetype,filename,time
UK_1501581846736,TestRecording_p0.mp3,../../../private/StoryTransmission/recordings/REC_29064900 1501581844_5150.mp3,2017-8-1 11:4:4
UK_1501581846736,UK_1501581846736_distraction_0,../../../private/StoryTransmission/distractionTask/98171100 1501582419_6502.csv,2017-8-1 11:13:39
UK_1501581846736,UK_1501581846736_UK_HighP_Muki_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_17764800 1501582503_3710.mp3,2017-8-1 11:15:3
UK_1501581846736,UK_1501581846736_distraction_1,../../../private/StoryTransmission/distractionTask/67226700 1501583488_8704.csv,2017-8-1 11:31:28
UK_1501581846736,UK_1501581846736_UK_LowP_Taka_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_16566900 1501583593_4765.mp3,2017-8-1 11:33:13
UK_1501581846736,UK_1501581846736_SpEval_0,../../../private/StoryTransmission/survey/18061400 1501584905_6245.csv,2017-8-1 11:55:5
UK_1501581846736,UK_1501581846736_SpEval_1,../../../private/StoryTransmission/survey/23782100 1501585081_7620.csv,2017-8-1 11:58:1
UK_1501581846736,UK_1501581846736_Survey_0,../../../private/StoryTransmission/survey/44735400 1501585114_8035.csv,2017-8-1 11:58:34
