participantID,filetype,filename,time
USA_1501574724365,TestRecording_p0.mp3,../../../private/StoryTransmission/recordings/REC_81730100 1501574720_6798.mp3,2017-8-1 9:5:20
USA_1501574724365,USA_1501574724365_distraction_0,../../../private/StoryTransmission/distractionTask/58683800 1501575074_4986.csv,2017-8-1 9:11:14
USA_1501574724365,USA_1501574724365_USA_HighP_Muki_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_66898300 1501575082_3300.mp3,2017-8-1 9:11:22
USA_1501574724365,USA_1501574724365_distraction_0,../../../private/StoryTransmission/distractionTask/34164900 1501575159_6343.csv,2017-8-1 9:12:39
USA_1501574724365,USA_1501574724365_distraction_1,../../../private/StoryTransmission/distractionTask/20778600 1501575189_5434.csv,2017-8-1 9:13:9
USA_1501574724365,USA_1501574724365_USA_LowP_Taka_1_p0.mp3,../../../private/StoryTransmission/recordings/REC_92239800 1501575197_7429.mp3,2017-8-1 9:13:17
USA_1501574724365,USA_1501574724365_SpEval_0,../../../private/StoryTransmission/survey/24287400 1501575256_2232.csv,2017-8-1 9:14:16
USA_1501574724365,USA_1501574724365_distraction_1,../../../private/StoryTransmission/distractionTask/15619300 1501575274_8373.csv,2017-8-1 9:14:34
USA_1501574724365,USA_1501574724365_distraction_1,../../../private/StoryTransmission/distractionTask/65691400 1501575358_1382.csv,2017-8-1 9:15:58
