participantID,playerDisplayLocations,playerDisplaySymbols,playerDisplaySymbols.alpha,playerDisplayCorrect,playerTechnicalPoints,currentDisplaySymbols,currentDisplaySymbols.alpha,,currentDisplayLocations,time
USA_1496671057482,1-4_1-5_,10_3,O_D,false_false,3,13_3_14_8_6_0_10,V_D_Y_L_J_A_O,undefined,2-2_3-1_0-0_1-4_2-5_1-2_2-4_,2017-6-5 14:57:48
USA_1496671057482,,,,,0,6_3_9_10_8_13_5,J_D_M_O_L_V_I,undefined,1-4_2-0_0-5_0-0_1-1_3-1_3-4_,2017-6-5 14:57:56
USA_1496671057482,,,,,0,1_4_7_6_12_13_5,B_E_K_J_U_V_I,undefined,1-2_2-4_2-5_3-5_1-0_0-2_2-3_,2017-6-5 14:58:5
