participantID,playerDisplayLocations,playerDisplaySymbols,playerDisplayCorrect,playerTechnicalPoints,currentDisplaySymbols,currentDisplayLocations,time
USA_1496421470610,,,,0,6_3_1_5_0_2_4,0-0_3-4_0-5_2-3_0-3_1-4_3-3_,2017-6-2 17:39:17
USA_1496421470610,,,,0,2_1_4_6_5_3_0,0-3_0-4_0-1_0-0_3-1_1-0_1-3_,2017-6-2 17:39:25
USA_1496421470610,,,,0,1_5_6_4_3_0_2,2-0_0-1_0-2_3-3_1-0_0-3_0-0_,2017-6-2 17:39:34
